Time,TPS,Latency
0.591060,16.918745,0.000000
0.591220,33.828355,0.000000
0.591336,50.732550,0.000000
0.593077,67.444925,0.000000
0.593514,84.244029,0.000000
0.594293,100.960357,0.000000
0.595570,117.534430,0.000000
0.604904,132.252500,0.000000
0.607673,148.105992,0.000000
0.607702,164.554315,0.000000
0.610725,196.487700,0.000000
0.611073,212.740685,0.000000
0.611356,228.999002,0.000000
0.611437,245.323771,0.000000
0.611630,261.596116,0.000000
0.611656,277.933832,0.000000
0.607726,181.002623,0.000000
0.614714,292.819139,0.000000
0.617461,307.711555,0.000000
0.617523,323.874685,0.000000
0.617810,339.910213,0.000000
0.619047,355.384707,0.000000
0.623086,369.130622,0.000000
0.623173,385.125825,0.000000
0.626758,398.877982,0.000000
0.628379,413.763333,0.000000
0.638099,423.131778,0.000000
0.638738,438.364457,0.000000
0.638819,453.962496,0.000000
0.638983,469.496150,0.000000
0.639432,484.805075,0.000000
0.643291,497.441801,0.000000
0.644374,512.125045,0.000000
0.644377,527.641188,0.000000
0.644406,543.135638,0.000000
0.644443,558.622230,0.000000
0.644528,574.063537,0.000000
0.644578,589.532654,0.000000
0.644624,605.003534,0.000000
0.644673,620.469201,0.000000
0.645777,634.894335,0.000000
0.646095,650.059495,0.000000
0.648140,663.436485,0.000000
0.652206,674.633129,0.000000
0.653337,688.771820,0.000000
0.659291,697.719481,0.000000
0.679002,692.191940,0.000000
0.693406,692.234849,0.000000
0.695211,704.821693,0.000000
0.695284,719.131074,0.000000
0.698055,730.601064,0.000000
0.704574,738.034395,0.000000
0.704674,752.120705,0.000000
0.704979,765.980625,0.000000
0.705150,779.975937,0.000000
0.705234,794.062398,0.000000
0.705278,808.191851,0.000000
0.705675,821.908636,0.000000
0.706228,835.424106,0.000000
0.708752,846.558458,0.000000
0.710207,858.904214,0.000000
0.710252,872.929505,0.000000
0.710417,886.803310,0.000000
0.710917,900.245791,0.000000
0.713351,911.192173,0.000000
0.717336,920.071463,0.000000
0.717912,933.262394,0.000000
0.718875,945.922502,0.000000
