[INFO] 2025/09/21 00:58:13 clientMessageHub started
[INFO] 2025/09/21 00:58:13 start listening on localhost:20000
[INFO] 2025/09/21 00:58:13 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:14 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:15 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:16 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:17 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:18 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:19 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:20 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:21 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:22 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:23 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:24 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:25 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:26 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:27 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[INFO] 2025/09/21 00:58:28 Msg Sent: MsgRequestMessage, From localhost:20000, To localhost:28000, Txs 1000
[DEBUG] 2025/09/21 00:58:29 client stopped
